date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
05-03-2020,20200305,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
07-03-2020,20200307,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
08-03-2020,20200308,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
09-03-2020,20200309,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
11-03-2020,20200311,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,
12-03-2020,20200312,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,
13-03-2020,20200313,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,24.0,
14-03-2020,20200314,0.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,9.0,0.0,38.0,
15-03-2020,20200315,0.0,0.0,24.0,12.0,0.0,1.0,0.0,0.0,14.0,0.0,51.0,
16-03-2020,20200316,0.0,0.0,31.0,12.0,1.0,2.0,0.0,0.0,16.0,0.0,62.0,
17-03-2020,20200317,0.0,0.0,45.0,16.0,1.0,2.0,0.0,0.0,21.0,0.0,85.0,
18-03-2020,20200318,0.0,0.0,61.0,19.0,1.0,4.0,0.0,0.0,31.0,0.0,116.0,
19-03-2020,20200319,0.0,0.0,76.0,22.0,1.0,5.0,0.0,0.0,46.0,0.0,150.0,
20-03-2020,20200320,0.0,7.0,109.0,23.0,1.0,5.0,0.0,0.0,57.0,0.0,202.0,
21-03-2020,20200321,1.0,7.0,125.0,26.0,1.0,5.0,0.0,0.0,75.0,0.0,240.0,
22-03-2020,20200322,2.0,9.0,132.0,35.0,2.0,5.0,0.0,0.0,89.0,0.0,274.0,
23-03-2020,20200323,2.0,13.0,207.0,60.0,4.0,9.0,2.0,4.0,100.0,1.0,402.0,
24-03-2020,20200324,2.0,18.0,302.0,80.0,4.0,9.0,2.0,5.0,113.0,19.0,554.0,
25-03-2020,20200325,2.0,30.0,319.0,91.0,4.0,8.0,2.0,5.0,183.0,65.0,709.0,
26-03-2020,20200326,5.0,49.0,409.0,134.0,6.0,9.0,2.0,5.0,229.0,79.0,927.0,
27-03-2020,20200327,,,,,,,,,,,1170.0,
28-03-2020,20200328,10.0,68.0,533.0,156.0,11.0,10.0,5.0,6.0,271.0,117.0,1187.0,
29-03-2020,20200329,12.0,72.0,584.0,167.0,12.0,11.0,6.0,6.0,310.0,100.0,1280.0,
30-03-2020,20200330,12.0,72.0,618.0,171.0,11.0,11.0,3.0,8.0,324.0,96.0,1326.0,
31-03-2020,20200331,12.0,74.0,633.0,179.0,14.0,12.0,6.0,8.0,325.0,90.0,1353.0,
01-04-2020,20200401,15.0,76.0,645.0,186.0,14.0,12.0,7.0,9.0,326.0,90.0,1380.0,
02-04-2020,20200402,17.0,84.0,663.0,206.0,16.0,13.0,7.0,9.0,353.0,94.0,1462.0,
03-04-2020,20200403,21.0,84.0,672.0,215.0,16.0,13.0,7.0,9.0,374.0,94.0,1505.0,
04-04-2020,20200404,25.0,85.0,693.0,232.0,18.0,18.0,7.0,11.0,433.0,63.0,1585.0,
05-04-2020,20200405,31.0,87.0,704.0,246.0,19.0,18.0,8.0,11.0,454.0,77.0,1655.0,
06-04-2020,20200406,32.0,89.0,713.0,257.0,19.0,18.0,8.0,11.0,462.0,77.0,1686.0,
07-04-2020,20200407,,,,,,,,,,,1749.0,
08-04-2020,20200408,45.0,88.0,782.0,354.0,21.0,21.0,13.0,15.0,495.0,11.0,1845.0,
09-04-2020,20200409,61.0,93.0,795.0,387.0,22.0,20.0,15.0,15.0,515.0,11.0,1934.0,
10-04-2020,20200410,68.0,94.0,801.0,412.0,24.0,20.0,15.0,18.0,541.0,10.0,2003.0,
11-04-2020,20200411,69.0,94.0,813.0,418.0,23.0,20.0,16.0,19.0,546.0,10.0,2028.0,
12-04-2020,20200412,88.0,96.0,865.0,443.0,23.0,21.0,16.0,19.0,587.0,15.0,2173.0,
13-04-2020,20200413,104.0,96.0,890.0,465.0,23.0,22.0,16.0,22.0,617.0,17.0,2272.0,
14-04-2020,20200414,174.0,98.0,909.0,489.0,24.0,22.0,16.0,22.0,643.0,18.0,2415.0,
15-04-2020,20200415,199.0,97.0,930.0,519.0,25.0,22.0,16.0,23.0,657.0,18.0,2506.0,
16-04-2020,20200416,220.0,98.0,969.0,539.0,26.0,22.0,16.0,24.0,675.0,16.0,2605.0,
17-04-2020,20200417,246.0,100.0,1018.0,591.0,26.0,23.0,16.0,24.0,717.0,22.0,2783.0,
18-04-2020,20200418,270.0,100.0,1101.0,604.0,26.0,25.0,16.0,24.0,836.0,32.0,3034.0,
19-04-2020,20200419,293.0,100.0,1148.0,617.0,27.0,23.0,16.0,24.0,868.0,42.0,3158.0,
20-04-2020,20200420,310.0,105.0,1170.0,639.0,27.0,23.0,18.0,25.0,940.0,43.0,3300.0,https://twitter.com/DrZweliMkhize/status/1252311460962852864?s=20
21-04-2020,20200421,345.0,106.0,1199.0,671.0,27.0,24.0,16.0,24.0,1010.0,43.0,3465.0,https://twitter.com/DrZweliMkhize/status/1252631607166500866?s=20
22-04-2020,20200422,377.0,106.0,1224.0,758.0,27.0,23.0,16.0,24.0,1079.0,1.0,3635.0,https://sacoronavirus.co.za/2020/04/22/update-on-covid-19-22nd-april-2020/
23-04-2020,20200423,417.0,106.0,1252.0,807.0,27.0,23.0,16.0,25.0,1279.0,1.0,3953.0,https://sacoronavirus.co.za/2020/04/23/update-on-covid-19-23rd-april-2020-2/
24-04-2020,20200424,480.0,111.0,1281.0,841.0,29.0,24.0,16.0,25.0,1413.0,0.0,4220.0,https://twitter.com/nicd_sa/status/1253769210301427713?s=21
25-04-2020,20200425,488.0,111.0,1304.0,841.0,30.0,23.0,16.0,28.0,1514.0,0.0,4361.0,https://twitter.com/DrZweliMkhize/status/1254108225991041024?s=20
26-04-2020,20200426,535.0,110.0,1331.0,863.0,31.0,23.0,17.0,28.0,1608.0,0.0,4546.0,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20
27-04-2020,20200427,588.0,111.0,1353.0,902.0,31.0,26.0,17.0,31.0,1737.0,0.0,4793.0,https://twitter.com/drzwelimkhize/status/1254848109794021378?s=21
28-04-2020,20200428,616.0,113.0,1377.0,919.0,31.0,26.0,17.0,29.0,1870.0,0.0,4996.0,https://twitter.com/COVID_19_ZA/status/1255200757973909508?s=20
29-04-2020,20200429,630.0,113.0,1408.0,956.0,31.0,31.0,17.0,29.0,2135.0,0.0,5350.0,https://sacoronavirus.co.za/2020/04/29/update-on-covid-19-29th-april-2020/
30-04-2020,20200430,647.0,116.0,1446.0,980.0,32.0,36.0,17.0,31.0,2342.0,0.0,5647.0,https://sacoronavirus.co.za/2020/04/30/update-on-covid-19-30th-april-2020/
01-05-2020,20200501,691.0,118.0,1507.0,1006.0,34.0,35.0,18.0,35.0,2507.0,0.0,5951.0,https://sacoronavirus.co.za/2020/05/01/update-on-covid-19-1st-may-2020/
02-05-2020,20200502,732.0,121.0,1598.0,1051.0,36.0,40.0,23.0,35.0,2700.0,0.0,6336.0,
03-05-2020,20200503,774.0,122.0,1624.0,1076.0,37.0,46.0,24.0,36.0,3044.0,0.0,6783.0,https://twitter.com/nicd_sa/status/1257006165889880069?s=20
04-05-2020,20200504,814.0,125.0,1651.0,1106.0,39.0,53.0,25.0,35.0,3362.0,0.0,7220.0,https://sacoronavirus.co.za/2020/05/04/update-on-covid-19-4th-may-2020/
05-05-2020,20200505,838.0,128.0,1697.0,1142.0,40.0,57.0,26.0,35.0,3609.0,0.0,7572.0,https://sacoronavirus.co.za/2020/05/05/update-on-covid-19-5th-may-2020/
06-05-2020,20200506,849.0,130.0,1720.0,1149.0,40.0,57.0,26.0,37.0,3760.0,0.0,7808.0,https://twitter.com/HealthZA/status/1258130333272244229?s=20
07-05-2020,20200507,929.0,134.0,1804.0,1204.0,41.0,59.0,27.0,40.0,3994.0,0.0,8232.0,https://sacoronavirus.co.za/2020/05/07/update-on-covid-19-7th-may-2020/
08-05-2020,20200508,989.0,133.0,1851.0,1253.0,43.0,60.0,27.0,42.0,4497.0,0.0,8895.0,https://sacoronavirus.co.za/2020/05/08/update-on-covid-19-8th-may-2020/
09-05-2020,20200509,1078.0,134.0,1910.0,1308.0,51.0,61.0,28.0,41.0,4809.0,0.0,9420.0,https://sacoronavirus.co.za/2020/05/09/update-on-covid-19-9th-may-2020/
10-05-2020,20200510,1218.0,135.0,1952.0,1353.0,54.0,61.0,29.0,45.0,5168.0,0.0,10015.0,https://sacoronavirus.co.za/2020/05/10/update-on-covid-19-10th-may-2020/
11-05-2020,20200511,1356.0,135.0,1971.0,1372.0,54.0,63.0,30.0,50.0,5621.0,0.0,10652.0,https://twitter.com/DrZweliMkhize/status/1259849590251098112?s=20
12-05-2020,20200512,1504.0,135.0,2014.0,1394.0,54.0,63.0,30.0,51.0,6105.0,0.0,11350.0,https://twitter.com/nicd_sa/status/1260170708329672706?s=20
13-05-2020,20200513,1534.0,138.0,2074.0,1413.0,54.0,66.0,30.0,52.0,6713.0,0.0,12074.0,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1
14-05-2020,20200514,1569.0,145.0,2135.0,1444.0,55.0,67.0,31.0,58.0,7235.0,0.0,12739.0,https://sacoronavirus.co.za/2020/05/14/update-on-covid-19-14th-may-2020/
15-05-2020,20200515,1662.0,151.0,2210.0,1482.0,57.0,67.0,34.0,63.0,7798.0,0.0,13524.0,https://mobile.twitter.com/nicd_sa/status/1261360621804806145/photo/1
16-05-2020,20200516,1812.0,153.0,2262.0,1498.0,59.0,68.0,35.0,64.0,8404.0,0.0,14355.0,https://twitter.com/nicd_sa/status/1261738963716489219
17-05-2020,20200517,1936.0,158.0,2329.0,1543.0,77.0,71.0,37.0,70.0,9294.0,0.0,15515.0,https://sacoronavirus.co.za/2020/05/17/update-on-covid-19-17th-may-2020/
18-05-2020,20200518,2052.0,163.0,2343.0,1567.0,88.0,76.0,37.0,72.0,10035.0,0.0,16433.0,https://twitter.com/nicd_sa/status/1262476267405946883
19-05-2020,20200519,2135.0,168.0,2361.0,1616.0,94.0,78.0,37.0,72.0,10639.0,0.0,17200.0,https://sacoronavirus.co.za/2020/05/19/update-on-covid-19-19th-may-2020/
20-05-2020,20200520,2215.0,180.0,2400.0,1650.0,93.0,93.0,38.0,72.0,11262.0,0.0,18003.0,https://twitter.com/nicd_sa/status/1263182934594420736
21-05-2020,20200521,2324.0,184.0,2453.0,1693.0,121.0,95.0,37.0,77.0,12153.0,0.0,19137.0,https://twitter.com/nicd_sa/status/1263466016874680322
22-05-2020,20200522,2459.0,185.0,2521.0,1735.0,120.0,98.0,39.0,80.0,12888.0,0.0,20125.0,https://sacoronavirus.co.za/2020/05/22/update-on-covid-19-22nd-may-2020/
23-05-2020,20200523,2569.0,196.0,2633.0,1777.0,124.0,97.0,40.0,81.0,13826.0,0.0,21343.0,https://twitter.com/nicd_sa/status/1264277822891327489
24-05-2020,20200524,2690.0,202.0,2773.0,1815.0,128.0,101.0,40.0,94.0,14740.0,0.0,22583.0,https://twitter.com/nicd_sa/status/1264637660045377540
25-05-2020,20200525,2748.0,208.0,2993.0,1882.0,132.0,103.0,45.0,109.0,15396.0,0.0,23615.0,https://twitter.com/nicd_sa/status/1265002094299426817?s=20
26-05-2020,20200526,2864.0,206.0,3043.0,1927.0,132.0,103.0,45.0,115.0,15829.0,0.0,24264.0,https://twitter.com/nicd_sa/status/1265381678001913857
27-05-2020,20200527,3047.0,221.0,3167.0,2186.0,141.0,106.0,48.0,128.0,16893.0,0.0,25937.0,https://twitter.com/nicd_sa/status/1265738793904201728
28-05-2020,20200528,3306.0,225.0,3329.0,2349.0,144.0,111.0,51.0,134.0,17754.0,0.0,27403.0,https://twitter.com/COVID_19_ZA/status/1266131226135597057
29-05-2020,20200529,3583.0,231.0,3583.0,2428.0,170.0,112.0,52.0,143.0,18906.0,32.0,29240.0,https://twitter.com/nicd_sa/status/1266458332031848459
30-05-2020,20200530,3759.0,261.0,3773.0,2476.0,173.0,113.0,57.0,162.0,20160.0,33.0,30967.0,https://twitter.com/nicd_sa/status/1266797798369964034
31-05-2020,20200531,3927.0,278.0,4003.0,2545.0,177.0,121.0,69.0,175.0,21382.0,6.0,32683.0,https://twitter.com/nicd_sa/status/1267168836924641281
01-06-2020,20200601,4111.0,285.0,4231.0,2565.0,192.0,131.0,82.0,187.0,22567.0,6.0,34357.0,https://twitter.com/nicd_sa/status/1267462844578226178
02-06-2020,20200602,4324.0,299.0,4276.0,2637.0,193.0,132.0,91.0,271.0,23583.0,6.0,35812.0,https://twitter.com/nicd_sa/status/1267904171778412545
03-06-2020,20200603,4526.0,319.0,4567.0,2707.0,200.0,137.0,93.0,314.0,24657.0,5.0,37525.0,https://twitter.com/nicd_sa/status/1268264707401662464
04-06-2020,20200604,4936.0,322.0,4845.0,2869.0,206.0,144.0,95.0,364.0,27006.0,5.0,40792.0,https://twitter.com/nicd_sa/status/1268630460286087175
05-06-2020,20200605,5240.0,336.0,5215.0,2936.0,215.0,169.0,102.0,409.0,28807.0,5.0,43434.0,https://twitter.com/nicd_sa/status/1268987910034001924
06-06-2020,20200606,5629.0,348.0,5626.0,3016.0,216.0,181.0,105.0,468.0,30379.0,5.0,45973.0,https://twitter.com/nicd_sa/status/1269362848700010500
07-06-2020,20200607,5974.0,361.0,5946.0,3108.0,227.0,189.0,114.0,523.0,31824.0,19.0,48285.0,https://twitter.com/nicd_sa/status/1269717709786427393
08-06-2020,20200608,6341.0,373.0,6258.0,3175.0,244.0,183.0,118.0,580.0,33568.0,39.0,50879.0,https://twitter.com/nicd_sa/status/1270077710539337728
